revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/experiment_results/projects/async-http-client/revisions/rev_9a07c55_f4d8767/rev_9a07c55-f4d8767.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ef9f36b_4a67d1b/rev_ef9f36b-4a67d1b.revisions;642;322;0;322;2;320;320;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f258370_9af5921/rev_f258370-9af5921.revisions;641;322;0;322;2;319;319;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a68e9a0_d3d5f54/rev_a68e9a0-d3d5f54.revisions;643;322;0;322;2;321;321;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_8bde24e_6eccf6a/rev_8bde24e-6eccf6a.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_d8254d3_b514542/rev_d8254d3-b514542.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_ad14a83_6c556c8/rev_ad14a83-6c556c8.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_d3aebfc_5b8a7fa/rev_d3aebfc-5b8a7fa.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_8d3622b_9087e43/rev_8d3622b-9087e43.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_d981062_b6433d2/rev_d981062-b6433d2.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_5238e80_54f1ce8/rev_5238e80-54f1ce8.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_483e4e7_af7c197/rev_483e4e7-af7c197.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_366f0ce_ec14af8/rev_366f0ce-ec14af8.revisions;644;322;0;322;2;322;322;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_3c3695d_a16dd92/rev_3c3695d-a16dd92.revisions;645;322;0;322;2;323;322;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_a16dd92_6b6e593/rev_a16dd92-6b6e593.revisions;645;322;0;322;2;323;323;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_4782f0c_0bc1880/rev_4782f0c-0bc1880.revisions;645;322;0;322;2;323;323;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_05ae8da_65d3abc/rev_05ae8da-65d3abc.revisions;647;322;0;322;2;325;325;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_6f8a4c3_1f4b541/rev_6f8a4c3-1f4b541.revisions;645;322;0;322;2;323;322;1;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_e01620a_c431fc1/rev_e01620a-c431fc1.revisions;647;322;0;322;2;325;325;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_98872c9_1f2cc2c/rev_98872c9-1f2cc2c.revisions;647;322;0;322;2;325;325;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_8c36594_75a23e9/rev_8c36594-75a23e9.revisions;647;322;0;322;2;325;325;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_005c666_7204f93/rev_005c666-7204f93.revisions;650;324;0;324;2;326;326;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_f7a6c68_6deae2e/rev_f7a6c68-6deae2e.revisions;654;324;0;324;2;330;327;3;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_12d9d77_c83340c/rev_12d9d77-c83340c.revisions;663;335;0;335;2;328;328;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_c71e052_4a56d5c/rev_c71e052-4a56d5c.revisions;740;335;0;335;2;405;405;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_9908f3e_f6b341a/rev_9908f3e-f6b341a.revisions;663;337;0;337;2;326;326;0;0;0;0;0;21
/experiment_results/projects/async-http-client/revisions/rev_1e00231_ce896c8/rev_1e00231-ce896c8.revisions;747;336;0;336;2;411;411;0;0;0;0;0;21
